99  3.8005  12.071  51.061  207.69  572.04  1068.8  38.354  162.35  661.32  1825.5  3423.9  688.13  2810.3  7789  14714  11538  32240  61784  91247  178820  364420  
100  3.7839  12.018  50.832  206.73  569.22  1063  38.184  161.62  658.22  1816.4  3405.2  684.96  2796.9  7749.7  14632  11480  32072  61431  90745  177740  362050  
101  3.7672  11.964  50.6  205.75  566.39  1057.2  38.011  160.88  655.09  1807.3  3386.5  681.76  2783.3  7710.1  14551  11423  31903  61077  90243  176670  359680  
102  3.7502  11.91  50.367  204.77  563.54  1051.3  37.837  160.13  651.93  1798.1  3367.7  678.53  2769.7  7670.4  14469  11365  31733  60723  89739  175600  357330  
103  3.7331  11.855  50.131  203.78  560.67  1045.5  37.662  159.37  648.75  1788.9  3348.9  675.27  2756  7630.5  14387  11307  31563  60369  89235  174530  354990  
104  3.7159  11.8  49.894  202.78  557.79  1039.7  37.484  158.61  645.55  1779.6  3330  672  2742.2  7590.4  14305  11249  31392  60015  88730  173470  352660  
105  3.6985  11.744  49.654  201.78  554.9  1033.8  37.306  157.84  642.33  1770.3  3311.1  668.7  2728.3  7550.1  14222  11190  31221  59662  88225  172400  350350  
106  3.6809  11.688  49.413  200.77  551.99  1027.9  37.126  157.07  639.09  1761  3292.2  665.37  2714.4  7509.7  14140  11131  31049  59308  87720  171340  348050  
107  3.6632  11.631  49.17  199.76  549.07  1022.1  36.945  156.29  635.84  1751.6  3273.3  662.03  2700.3  7469.2  14058  11072  30877  58955  87214  170280  345760  
108  3.6454  11.574  48.926  198.74  546.15  1016.2  36.762  155.51  632.56  1742.2  3254.4  658.67  2686.2  7428.6  13976  11013  30705  58603  86708  169230  343480  
109  3.6275  11.517  48.68  197.71  543.21  1010.4  36.579  154.72  629.28  1732.8  3235.5  655.29  2672.1  7387.9  13894  10953  30533  58251  86202  168180  341220  
110  3.6094  11.459  48.433  196.68  540.26  1004.5  36.394  153.93  625.97  1723.3  3216.6  651.9  2657.9  7347  13812  10894  30360  57899  85697  167130  338970  
111  3.5913  11.401  48.185  195.65  537.31  998.62  36.208  153.14  622.66  1713.8  3197.7  648.49  2643.7  7306.2  13730  10834  30187  57548  85192  166080  336740  
112  3.573  11.343  47.935  194.61  534.35  992.76  36.022  152.34  619.34  1704.3  3178.9  645.07  2629.4  7265.2  13648  10774  30014  57198  84687  165040  334520  
113  3.5547  11.284  47.685  193.57  531.38  986.9  35.835  151.54  616  1694.8  3160  641.64  2615.1  7224.2  13566  10714  29841  56849  84183  164010  332310  
114  3.5363  11.225  47.434  192.52  528.42  981.05  35.647  150.73  612.66  1685.3  3141.2  638.2  2600.7  7183.2  13485  10654  29668  56501  83680  162970  330110  
115  3.5178  11.166  47.182  191.48  525.44  975.21  35.459  149.93  609.31  1675.8  3122.4  634.75  2586.4  7142.2  13403  10594  29495  56154  83178  161940  327940  
116  3.4993  11.107  46.929  190.43  522.47  969.38  35.269  149.12  605.96  1666.2  3103.6  631.29  2572  7101.2  13322  10534  29323  55808  82676  160920  325770  
117  3.4807  11.048  46.675  189.38  519.5  963.56  35.08  148.31  602.6  1656.7  3084.9  627.83  2557.6  7060.2  13241  10474  29150  55463  82176  159900  323620  
118  3.4621  10.988  46.422  188.33  516.52  957.75  34.89  147.5  599.23  1647.2  3066.2  624.36  2543.2  7019.2  13160  10413  28978  55119  81678  158890  321490  
119  3.4434  10.929  46.167  187.27  513.55  951.96  34.7  146.69  595.87  1637.7  3047.6  620.89  2528.8  6978.3  13080  10353  28806  54777  81180  157880  319370  
120  3.4247  10.869  45.913  186.22  510.58  946.19  34.509  145.87  592.51  1628.1  3029.1  617.42  2514.4  6937.4  12999  10293  28635  54436  80685  156870  317270  
121  3.406  10.81  45.658  185.17  507.62  940.43  34.319  145.06  589.14  1618.6  3010.6  613.95  2500  6896.6  12919  10233  28463  54096  80191  155870  315180  
122  3.3873  10.75  45.404  184.12  504.65  934.7  34.128  144.25  585.78  1609.2  2992.1  610.48  2485.6  6855.8  12840  10174  28293  53758  79699  154880  313110  
123  3.3685  10.69  45.149  183.07  501.7  928.98  33.938  143.44  582.43  1599.7  2973.8  607.01  2471.2  6815.2  12761  10114  28123  53422  79208  153890  311050  
124  3.3498  10.63  44.895  182.02  498.75  923.29  33.747  142.62  579.08  1590.3  2955.5  603.55  2456.9  6774.7  12682  10054  27953  53088  78720  152910  309010  
125  3.3311  10.571  44.641  180.97  495.81  917.63  33.557  141.81  575.73  1580.8  2937.3  600.09  2442.6  6734.3  12603  9994.8  27784  52755  78235  151940  306990  
126  3.3124  10.511  44.387  179.93  492.88  911.99  33.367  141  572.39  1571.5  2919.2  596.64  2428.3  6694.1  12525  9935.6  27616  52424  77752  150970  304980  
127  3.2937  10.452  44.134  178.89  489.96  906.38  33.177  140.2  569.07  1562.1  2901.2  593.19  2414.1  6654  12447  9876.6  27448  52096  77271  150010  302990  
128  3.2751  10.392  43.881  177.85  487.05  900.8  32.988  139.39  565.75  1552.8  2883.3  589.76  2399.9  6614.1  12370  9817.8  27282  51769  76793  149050  301020  
